label	id	approved	datestart	dateend	name	shortname	hashtag	homepage	presentation form	onlinebanner	city	country	venue	OSM-Link	lat	lon	coclink	Self-description	cfpdate	cfplink	type	tags	EntranceFee	Registration	ParticipantsLastTime	Main language	Main Organiser	Specialties	First Edition	Main Sponsors	Edition’s Topic	Technologies in use	Online Interactivity	Technical Liberties	Timezone	Twitter	Mastodon	Telegram	Git*	Instagram	LinkedIn	Facebook	Youtube	Matrix	Mailinglist	cancelled	replacement	replaces	cancellation_description
Grazer Linuxtage	1667505161	yes	20230414	20230415	Grazer Linuxtage		glt23	https://www.linuxtage.at/		/img/eventbanners/2023/2023-Grazer-Linuxtage.png	Graz	AT	TU Graz	https://www.openstreetmap.org/#map=18/47.05827/15.46124	47.05827	15.46124	https://www.linuxtage.at/coc/	Die Grazer Linuxtage sind eine jährliche Konferenz rund um Open-Source Software und Hardware.			Community Event	graz,linuxtage	Zero	no	Around 800 participants in the last offline event in 2019.	DE										https://twitter.com/linuxtage													
Internet Freedom Festival			20200420	20200424	Internet Freedom Festival	IFF	#IFF	https://internetfreedomfestival.org/			Valencia	ES	Las Naves	https://www.openstreetmap.org/way/158789093	39.4585	-0.33797	https://internetfreedomfestival.org/wiki/index.php/Code_of_Conduct	The Internet Freedom Festival is the only organization focused entirely in community development for the Internet Freedom field. We design programs and tools to bring together the eclectic plethora of activist groups, NGOs, governmental agencies, media organizations, large internet platforms, and many others who rely on each other to achieve the common goal of a free and open internet for all.	20191215	https://internetfreedomfestival.org/cfp-guide-2020/	Unconference	Diversity, Village, Global	Zero	yes	1700	EN										https://twitter.com/internetff													
Akademy-es			20200424	20200426	Akademy-es 2020			https://www.kde-espana.org/akademy-es-2020			Malaga	ES	El Polo Digital	https://www.openstreetmap.org/relation/1426741	36.69882	-4.43922		<p>Akademy-es es el encuentro anual de desarrolladores, colaboradores y usuarios de KDE en España, que se celebra desde el año 2006 en distintas ciudades del territorio español y con ésta se llegará a la decimocuarta edición.</p><p>Este año Akademy-es 2020 se celebrará en Málaga concretamente dentro del gran evento libre Opensouthcode del 24 al 26 de abril.</p><p>Málaga, capital de la provincia homónima, es la quinta ciudad de España en número de habitantes. Está situada en el sur de la Península Ibérica, en un privilegiado enclave natural.</p><p>El mar Mediterráneo baña sus costas y los montes de Málaga la circundan, conformando una barrera montañosa que la defiende del frío, caracterizándose su clima por sus suaves temperaturas gracias al papel del mar como regulador térmico.</p>	20200229	https://www.kde-espana.org/akademy-es-2020/presenta-tu-charla	Project Event,Hackmeeting	KDE,	Zero	?	?	ES	KDE España	Akademy-es is hosted by <a href=”/2020/04-24-opensouthcode.html”>Open South Code</a>																					
Opensouthcode			20200424	20200425	Opensouthcode 2020	Opensouthcode	#Opensouthcode	https://www.opensouthcode.org/			Malaga	ES	El Polo Digital	https://www.openstreetmap.org/relation/1426741	36.69882	-4.43922	https://www.opensouthcode.org/conferences/opensouthcode2020#conduct	<p>Opensouthcode es un evento para promocionar y dar a conocer las tecnologías abiertas: software/hardware libre y opensource. El evento es gratuito.</p><p>Opensouthcode is an event to promote open technologies: free software/hardware and opensource. The event is free (as in beer 	20200124	https://www.opensouthcode.org/conferences/opensouthcode2020/program/proposals/new	Community Event	Free Software, Free Hardware, Open Source	Zero	no	?	ES		Open South Code hosts Akademy-es, the annual hackmeeting and conference of KDE España								https://twitter.com/opensouthcode													
FLISOL	1667504048	yes	20230422	20230422	Festival Latinoamericano de Instalación de Software Libre	FLISOL		https://flisol.info/FLISOL2023/Espana										Cada año, el cuarto sábado de abril se organizan jornadas de difusión de Software Libre de forma simultánea en varios cientos de localidades del planeta, un macroevento conocido como FLISOL. Hace ya 9 años se organizó por primera vez en España, por lo que en 2019 será la 10ª vez que se realice. Y es que lo gratificante de la experiencia y la importancia de apoyar y difundir el Software Libre en nuestro entorno, nos motiva a continuar año tras año. 			Regional Day				?																								
Open Education Day	1675793417	yes	20230506	20230506	Open Education Day			https://openeducationday.ch/			Bern	CH	Pädagogische Hochschule	https://www.openstreetmap.org/node/6140870034	46.95237	7.42275		<p>Mit einer breiten Palette von Referaten, Workshops und Kurzpräsentationen vermittelt die kostenlose Tagung Wissen und Erfahrung zu Open Source Technologien, Open Content und Informatikkompetenzen im Lehrplan 21.</p><p>Momentan sind wir in der Planung. Sicher ist, dass neben den beliebten Workshops vor Ort auch einige Sessions remote besucht werden können. Weitere Informationen folgen demnächst.</p>	20230305	https://openeducationday.ch/call-for-speakers/	Community Event	education	?	https://openeducationday.ch/anmeldung-open-education-day/	?	DE	CH Open					?	?	?	UTC+2														
Linux Days Villach			20200430	20200430	Linux Days Villach			https://services.htl-villach.at/linuxday/			Villach	AT					nococ	?			Community Event		?	?	?	DE																							
Digitale Souveränität			20200504	20200504	Digitale Souveränität und Modernisierung der öffentlichen Verwaltung			https://registration.fsfe.org/Digitale-Verwaltung-2020			Berlin	DE	Kalkscheune	https://www.openstreetmap.org/relation/1505139	52.52416	13.38956	https://fsfe.org/about/codeofconduct	<p>In den letzten Jahren wurde verstärkt über den Einsatz Freier Software in Verwaltungen diskutiert. Viele Verwaltungen haben mittlerweile weitreichende, positive Erfahrungen mit dem Einsatz Freier Software sammeln können. In einigen Bereichen sehen sie sich jedoch durch die Abhängigkeiten von einzelnen Herstellern proprietärer Software immer noch mit schwierigen Situationen konfrontiert: Modifikationen können nur umständlich vorgenommen werden, die Zusammenarbeit mit anderen Verwaltungen wird erschwert und Steuergelder werden für Lizenzen verwendet.</p><p>In der Veranstaltung wollen wir zum einen erfolgreiche Freie-Software-Projekte in der Verwaltung aus Anbietersicht vorstellen (Vormittag) als auch die Sicht der Verwaltungen auf Freie-Software-Projekte diskutieren (Nachmittag). Die Pausen sollen genutzt werden, damit Interessierte im Rahmen einer Ausstellung ins Gespräch kommen können.</p>			Policy Event	fsfe,publiccode,digitale souveränität,verwaltung	Zero	https://registration.fsfe.org/Digitale-Verwaltung-2020	1st time	DE	Free Software Foundation Europe																						
DrupalCamp Spain			20200611	20200613	DrupalCamp Spain 2020			https://2020.drupalcamp.es/			Malaga	ES	El Polo Digital	https://www.openstreetmap.org/relation/1426741	36.69882	-4.4392	https://docs.google.com/document/d/1egzPQfY0Tg4IjPUlnvz5BrEWwOPnBK2A91Zy-KIwK2w/edit?usp=sharing				Project Event	Drupal	?	yes	300	ES	Asociación Española de Drupal									http://twitter.com/drupalcampspain													
Wikimedia Hackathon			20220520	20220522	Wikimedia Hackathon 2022			https://www.mediawiki.org/wiki/Wikimedia_Hackathon_2022	online	/img/eventbanners/2022/2022-Wikimedia_hackathon.svg.png							https://foundation.wikimedia.org/wiki/Friendly_space_policy	The Wikimedia Hackathon is a major event that brings together developers from all around the world to improve the technological infrastructure of Wikipedia and other Wikimedia projects, particularly the MediaWiki platform on which they are based, and other Wikimedia code development.			Hackathon	Wikimedia,Wikipedia,Open Knowledge	Zero		?	EN																							
OpenTechSummit			20210517	20210521	OpenTechSummit	OpenTechSummit	#OpenTechSummit	https://eventyay.com/e/5ac8e4d9	online									<p>The OpenTechSummit Europe takes place ONLINE this year from Monday 17 to Friday 21 May 2021. The OpenTechSummit Europe brings together participants in the open source ecosystem: students, developers, companies, and FOSS communities to showcase latest technologies, exchange knowledge and collaborate on projects.</p>	20210331	https://eventyay.com/e/5ac8e4d9/cfs	Community Event		10 Euro	no	50	EN						eventyay				https://twitter.com/opntec													
Libre Graphics Meeting			20210527	20210530	Libre Graphics Meeting	LGM	#LGM	https://libregraphicsmeeting.org/2021/en/index.html	hybrid	/img/eventbanners/2021/2021-lgm.png	Rennes	FR	Different Places	https://www.openstreetmap.org/#map=19/48.10164/-1.72557	48.10164	-1.72557	https://libregraphicsmeeting.org/2020/en/codeofconduct.html	<p>As you can see, we maintain the LGM event this year. Of course we are conscious that this edition will again be a bit special. Waiting for better days, we think it is important to keep it alive. We have decided to make an attempt of mixed edition:</p><ul><li>Online conferences</li><li>Physical meeting for those who can and want to</li><li></ul><p>The online conferences will be similar to last year's event. We will certainly use different technical solutions, but this format will allow everyone to participate and follow what they are interested in.</p><p>As we are convinced that a physical meeting is more efficient to motivate collaborations, it will be possible for a limited number of participants to join us in Rennes, to allow teams and those who want to participate to hacking sessions and workshops. We will follow the constrains evolution and organize this physical event accordingly. We are aware that everyone will not be able to come for various reasons. But we think it is important to do our best to help those who want and have the possibility to attend, and not stay in a permanently blocked situation for everyone.</p>	20210419	https://libregraphicsmeeting.org/2021/en/submissioncall.html	Community Event	Design	?		?	EN/FR										https://twitter.com/lgmeeting													
PyCon CZ			20200605	20200607	PyCon CZ			https://cz.pycon.org/2020/			Ostrava	CZ	Hlubina	https://www.openstreetmap.org/#map=18/49.82144/18.27744	49.82144	18.27744	https://cz.pycon.org/2020/coc/	6th PyCon CZ is organized by volunteers from Czech Python community for anyone interested in Python: professionals, novices, students and hobbyist Python programmers from Czechia and abroad. Everyone gets a chance to learn, receive support, and connect with others in a friendly atmosphere.	20200331	https://cz.pycon.org/2020/cfp/	Project Event	Python,PyConCZ,Czechia	500CZK - 3900CZK	yes	470	EN																							
Xen Developer & Design Summit			20200602	20200604	Xen Developer & Design Summit			https://events.linuxfoundation.org/xen-summit/			Bucharest	RO	PRECIS Center	https://www.openstreetmap.org/way/452377556	44435	26.04775	https://events.linuxfoundation.org/xen-summit/attend/code-of-conduct/	The Xen Project Developer and Design Summit brings together the Xen Project’s community of developers and power users for their annual developer conference. The conference is about sharing ideas and the latest developments, sharing experience, planning, collaboration and above all to have fun and to meet the community that defines the Xen Project.	20200306	https://events.linuxfoundation.org/xen-summit/program/cfp/	Project Event	Xen	200$	https://events.linuxfoundation.org/xen-summit/register/	?	EN	Linux Foundation																						
WordCamp Europe			20210607	20210610	WordCamp Europe 2021	Wordcamp	#Wordcamp	https://europe.wordcamp.org/2021/	online								https://europe.wordcamp.org/2021/code-of-conduct/	<p>WordCamp Europe is an informal, community-organised gathering of WordPress enthusiasts, from casual users to Core developers, where we discuss all things WordPress, share ideas and get to know each other.</p><p>WordCamp Europe will be once more an online event and is scheduled for 7 to 10 June 2021.</p>	20210424	https://europe.wordcamp.org/2021/call-for-speakers/	Project Event	Wordpress	?		3000	EN																							
Pylondinium			20200605	20200607	Pylondinium 2020			https://pylondinium.org/			London	GB	Bloomberg	https://www.openstreetmap.org/node/5198354570	51.51277	-0.09064	https://pylondinium.org/coc.html	A Python conference for developers and users of Python	20200325	https://www.papercall.io/pylondinium-2020	Project Event	Python	Zero	no	?	EN			2018																				
